,State_name,Sector,Sex,Age,Marital_Status,Year_Edu,LFPR
364,Kerala,0,1,54,1,10,1
365,Kerala,0,0,78,1,0,0
366,Kerala,0,1,70,1,4,0
367,Kerala,0,0,67,1,5,0
368,Kerala,0,1,60,1,5,0
369,Kerala,0,0,38,1,18,1
370,Kerala,0,1,30,1,15,1
371,Kerala,0,1,2,0,0,0
372,Kerala,0,0,52,1,10,1
373,Kerala,0,1,44,1,10,1
374,Kerala,0,0,17,0,11,1
375,Kerala,0,0,13,0,7,0
376,Kerala,0,0,51,1,10,1
377,Kerala,0,1,40,1,15,0
378,Kerala,0,0,14,0,9,0
379,Kerala,0,0,11,0,5,0
380,Kerala,0,0,53,1,10,1
381,Kerala,0,1,40,1,10,0
382,Kerala,0,0,15,0,9,0
383,Kerala,0,1,12,0,7,0
384,Kerala,0,0,35,1,15,1
385,Kerala,0,1,34,1,14,0
386,Kerala,0,0,10,0,3,0
387,Kerala,0,0,5,0,0,0
388,Kerala,0,1,2,0,0,0
389,Kerala,0,0,58,1,9,0
390,Kerala,0,1,46,1,10,0
391,Kerala,0,1,13,0,7,0
392,Kerala,0,1,43,1,10,1
393,Kerala,0,0,19,0,12,1
394,Kerala,0,0,8,0,2,0
395,Kerala,0,0,60,1,3,1
396,Kerala,0,1,52,1,0,1
397,Kerala,0,0,24,0,9,1
398,Kerala,0,0,21,0,12,1
399,Kerala,0,0,58,1,10,1
400,Kerala,0,1,48,1,7,0
401,Kerala,0,1,31,1,15,0
402,Kerala,0,1,2,0,0,0
403,Kerala,0,0,43,1,10,1
404,Kerala,0,1,35,1,15,1
405,Kerala,0,0,13,0,7,0
406,Kerala,0,1,11,0,5,0
407,Kerala,0,0,45,1,10,1
408,Kerala,0,1,35,1,10,0
409,Kerala,0,0,14,0,7,0
410,Kerala,0,0,12,0,6,0
411,Kerala,0,0,9,0,2,0
412,Kerala,0,1,3,0,0,0
413,Kerala,0,0,59,1,3,1
414,Kerala,0,1,53,1,7,0
415,Kerala,0,0,36,1,12,1
416,Kerala,0,0,26,0,12,1
417,Kerala,0,1,30,1,15,0
418,Kerala,0,0,9,0,3,0
419,Kerala,0,1,6,0,0,0
420,Kerala,0,1,2,0,0,0
421,Kerala,0,1,22,1,15,0
422,Kerala,0,1,3,0,0,0
423,Kerala,0,0,45,1,8,1
424,Kerala,0,1,38,1,10,0
425,Kerala,0,0,13,0,7,0
426,Kerala,0,0,5,0,0,0
427,Kerala,0,1,0,0,0,0
428,Kerala,0,0,46,1,8,1
429,Kerala,0,1,38,1,12,1
430,Kerala,0,0,13,0,7,0
431,Kerala,0,1,43,1,7,0
432,Kerala,0,1,22,1,14,0
433,Kerala,0,0,1,0,0,0
434,Kerala,0,0,50,1,7,1
435,Kerala,0,1,44,1,10,0
436,Kerala,0,0,19,0,14,0
437,Kerala,0,1,15,0,9,0
438,Kerala,0,0,67,1,2,0
439,Kerala,0,1,61,1,4,0
440,Kerala,0,0,31,0,15,1
441,Kerala,0,0,64,1,10,0
442,Kerala,0,1,54,1,15,0
443,Kerala,0,0,45,1,7,1
444,Kerala,0,1,40,1,8,1
445,Kerala,0,0,15,0,9,0
446,Kerala,0,1,13,0,6,0
447,Kerala,0,1,65,0,4,1
448,Kerala,0,0,72,1,17,1
449,Kerala,0,1,62,1,12,0
450,Kerala,0,1,65,1,8,1
451,Kerala,0,0,75,1,4,1
452,Kerala,0,0,39,1,9,1
453,Kerala,0,1,35,1,12,0
454,Kerala,0,0,4,0,0,0
455,Kerala,0,1,11,0,5,0
456,Kerala,0,0,65,1,4,1
457,Kerala,0,1,58,1,4,1
458,Kerala,0,0,30,0,10,1
459,Kerala,0,0,63,1,5,0
460,Kerala,0,1,62,1,4,1
461,Kerala,0,0,29,0,8,1
462,Kerala,0,0,56,1,18,1
463,Kerala,0,1,45,1,10,0
464,Kerala,0,0,32,1,12,1
465,Kerala,0,1,3,0,0,0
466,Kerala,0,0,48,1,10,1
467,Kerala,0,1,46,1,10,1
468,Kerala,0,0,77,1,7,0
469,Kerala,0,1,74,1,9,0
470,Kerala,0,0,53,1,15,1
471,Kerala,0,1,50,1,12,0
472,Kerala,0,1,23,0,17,1
473,Kerala,0,0,55,1,7,1
474,Kerala,0,1,50,1,7,1
475,Kerala,0,0,29,0,14,1
476,Kerala,0,0,89,1,7,0
477,Kerala,0,1,77,1,6,0
478,Kerala,0,1,65,1,7,1
479,Kerala,0,0,70,1,4,0
480,Kerala,0,1,26,1,15,0
481,Kerala,0,1,4,0,0,0
482,Kerala,0,0,41,1,9,0
483,Kerala,0,1,34,1,11,0
484,Kerala,0,0,8,0,3,0
485,Kerala,0,1,12,0,6,0
486,Kerala,0,1,4,0,0,0
487,Kerala,0,0,62,1,8,1
488,Kerala,0,1,56,1,3,0
489,Kerala,0,0,36,1,10,1
490,Kerala,0,1,28,1,15,0
491,Kerala,0,0,8,0,2,0
492,Kerala,0,1,4,0,0,0
493,Kerala,0,0,58,1,8,1
494,Kerala,0,1,51,1,10,1
495,Kerala,0,0,59,1,8,1
496,Kerala,0,1,52,1,12,0
497,Kerala,0,0,26,0,16,1
498,Kerala,0,0,31,0,15,1
499,Kerala,0,1,34,0,15,1
500,Kerala,0,0,78,1,7,1
501,Kerala,0,1,74,1,4,0
502,Kerala,0,0,38,1,15,1
503,Kerala,0,1,35,1,15,0
504,Kerala,0,1,0,0,0,0
505,Kerala,0,0,51,1,4,1
506,Kerala,0,1,47,1,7,1
507,Kerala,0,0,21,0,13,1
508,Kerala,0,0,14,0,9,0
509,Kerala,0,0,33,1,8,1
510,Kerala,0,1,30,1,12,1
511,Kerala,0,0,5,0,0,0
512,Kerala,0,0,3,0,0,0
513,Kerala,0,1,9,0,4,0
514,Kerala,0,1,2,0,0,0
515,Kerala,0,0,14,0,8,0
516,Kerala,0,0,12,0,6,0
517,Kerala,0,0,11,0,4,0
518,Kerala,0,0,58,1,9,1
519,Kerala,0,1,54,1,0,1
520,Kerala,0,0,33,1,15,1
521,Kerala,0,1,28,1,17,1
522,Kerala,0,0,2,0,0,0
523,Kerala,0,0,62,1,3,1
524,Kerala,0,1,55,1,7,1
525,Kerala,0,0,67,1,5,1
526,Kerala,0,1,65,1,0,0
527,Kerala,0,0,48,1,5,1
528,Kerala,0,1,45,1,5,0
529,Kerala,0,1,11,0,6,0
530,Kerala,0,1,62,1,4,0
531,Kerala,0,0,75,1,8,0
532,Kerala,0,1,38,1,16,0
533,Kerala,0,1,13,0,8,0
534,Kerala,0,1,9,0,3,0
535,Kerala,0,1,68,1,3,0
536,Kerala,0,0,77,1,8,0
537,Kerala,0,1,31,1,12,0
538,Kerala,0,0,11,0,5,0
539,Kerala,0,0,7,0,2,0
540,Kerala,0,1,5,0,0,0
541,Kerala,0,1,33,0,0,0
542,Kerala,0,0,42,1,10,1
543,Kerala,0,1,32,1,15,0
544,Kerala,0,0,11,0,4,0
545,Kerala,0,0,6,0,0,0
546,Kerala,0,1,1,0,0,0
547,Kerala,0,0,68,1,9,1
548,Kerala,0,1,66,1,5,0
549,Kerala,0,0,37,1,11,1
550,Kerala,0,1,32,1,15,1
551,Kerala,0,1,8,0,2,0
552,Kerala,0,1,5,0,0,0
553,Kerala,0,0,26,0,9,1
554,Kerala,0,0,16,0,10,0
555,Kerala,0,1,27,1,11,0
556,Kerala,0,0,8,0,2,0
557,Kerala,0,0,5,0,0,0
558,Kerala,0,0,57,1,15,1
559,Kerala,0,1,52,1,12,1
560,Kerala,0,1,16,0,11,0
561,Kerala,0,0,54,1,10,1
562,Kerala,0,1,50,1,8,0
563,Kerala,0,0,42,0,12,1
564,Kerala,0,0,75,1,7,0
565,Kerala,0,1,69,1,4,0
566,Kerala,0,1,78,0,16,0
567,Kerala,0,1,45,1,18,0
568,Kerala,0,1,16,0,9,0
569,Kerala,0,0,50,1,14,0
570,Kerala,0,0,54,1,7,1
571,Kerala,0,1,45,1,10,0
572,Kerala,0,0,33,1,8,1
573,Kerala,0,1,24,1,15,0
574,Kerala,0,0,2,0,0,0
575,Kerala,0,0,28,1,9,1
576,Kerala,0,1,24,1,12,0
577,Kerala,0,0,1,0,0,0
578,Kerala,0,0,0,0,0,0
579,Kerala,0,0,33,1,10,1
580,Kerala,0,1,28,1,12,0
581,Kerala,0,0,60,1,6,1
582,Kerala,0,1,56,1,7,1
583,Kerala,0,0,34,0,10,1
584,Kerala,0,0,31,0,10,1
585,Kerala,0,1,41,1,8,1
586,Kerala,0,0,51,1,6,1
587,Kerala,0,1,20,0,13,0
588,Kerala,0,0,48,1,7,1
589,Kerala,0,1,38,1,12,0
590,Kerala,0,0,18,0,12,0
591,Kerala,0,0,13,0,7,0
592,Kerala,0,0,43,1,10,1
593,Kerala,0,1,33,1,12,0
594,Kerala,0,1,12,0,5,0
595,Kerala,0,1,10,0,3,0
596,Kerala,0,0,70,1,6,1
597,Kerala,0,1,65,1,8,1
598,Kerala,0,1,34,1,15,1
599,Kerala,0,1,11,0,5,0
600,Kerala,0,1,9,0,3,0
601,Kerala,0,1,5,0,0,0
602,Kerala,0,1,35,1,15,0
603,Kerala,0,1,12,0,5,0
604,Kerala,0,1,7,0,2,0
605,Kerala,0,1,38,1,9,0
606,Kerala,0,0,19,0,12,0
607,Kerala,0,0,12,0,4,0
608,Kerala,0,0,6,0,0,0
609,Kerala,0,0,35,0,15,1
610,Kerala,0,0,61,1,7,0
611,Kerala,0,1,54,1,7,1
612,Kerala,0,1,37,1,11,0
613,Kerala,0,1,14,0,8,0
614,Kerala,0,0,65,1,4,0
615,Kerala,0,1,55,1,6,0
616,Kerala,0,0,49,1,11,1
617,Kerala,0,1,39,1,10,1
618,Kerala,0,0,16,0,11,0
619,Kerala,0,1,14,0,9,0
620,Kerala,0,0,70,1,3,0
621,Kerala,0,1,68,1,3,0
622,Kerala,0,1,33,1,11,0
623,Kerala,0,0,4,0,0,0
624,Kerala,0,0,1,0,0,0
625,Kerala,0,1,15,0,9,0
626,Kerala,0,1,8,0,2,0
627,Kerala,0,1,40,1,9,0
628,Kerala,0,1,19,0,12,0
629,Kerala,0,1,13,0,7,0
630,Kerala,0,1,11,0,5,0
631,Kerala,0,0,45,1,10,1
632,Kerala,0,1,36,1,10,0
633,Kerala,0,0,7,0,1,0
634,Kerala,0,0,0,0,0,0
635,Kerala,0,0,51,1,10,1
636,Kerala,0,1,42,1,9,1
637,Kerala,0,0,21,0,14,1
638,Kerala,0,0,18,0,12,0
639,Kerala,0,0,72,1,0,0
640,Kerala,0,1,66,1,3,1
641,Kerala,0,0,44,0,10,1
642,Kerala,0,0,60,1,5,1
643,Kerala,0,1,53,1,8,1
644,Kerala,0,0,32,1,10,1
645,Kerala,0,1,24,1,12,0
646,Kerala,0,0,68,1,4,0
647,Kerala,0,1,61,1,4,0
648,Kerala,0,0,38,0,8,1
649,Kerala,0,0,60,1,8,1
650,Kerala,0,1,52,1,8,0
651,Kerala,0,0,31,1,10,1
652,Kerala,0,1,24,1,12,0
653,Kerala,0,0,60,1,6,1
654,Kerala,0,1,52,1,8,0
655,Kerala,0,1,26,1,15,0
656,Kerala,0,1,5,0,0,0
657,Kerala,0,0,75,1,2,0
658,Kerala,0,1,67,1,6,0
659,Kerala,0,0,45,1,9,1
660,Kerala,0,0,52,1,8,1
661,Kerala,0,1,45,1,8,0
662,Kerala,0,0,52,1,9,1
663,Kerala,0,1,43,1,9,0
664,Kerala,0,0,19,0,14,0
665,Kerala,0,0,17,0,11,0
666,Kerala,0,0,42,1,9,1
667,Kerala,0,1,36,1,10,1
668,Kerala,0,0,17,0,11,0
669,Kerala,0,1,15,0,8,0
670,Kerala,0,1,18,0,11,0
671,Kerala,0,0,52,1,12,1
672,Kerala,0,1,43,1,10,0
673,Kerala,0,0,15,0,9,0
674,Kerala,0,1,20,0,14,0
675,Kerala,0,0,46,1,10,1
676,Kerala,0,1,41,1,10,0
677,Kerala,0,1,19,0,14,0
678,Kerala,0,1,14,0,8,0
679,Kerala,0,0,45,1,9,1
680,Kerala,0,1,40,1,12,0
681,Kerala,0,1,9,0,3,0
682,Kerala,0,1,7,0,1,0
683,Kerala,0,0,70,1,4,0
684,Kerala,0,1,62,1,4,1
685,Kerala,0,0,46,1,14,1
686,Kerala,0,1,36,1,12,0
687,Kerala,0,0,18,0,11,0
688,Kerala,0,0,15,0,8,0
689,Kerala,0,1,11,0,4,0
690,Kerala,0,1,9,0,3,0
691,Kerala,0,0,15,0,9,0
692,Kerala,0,1,18,0,12,0
693,Kerala,0,1,28,1,17,0
694,Kerala,0,0,2,0,0,0
695,Kerala,0,0,0,0,0,0
696,Kerala,0,0,40,0,9,1
697,Kerala,0,1,35,0,10,0
698,Kerala,0,0,36,1,14,1
699,Kerala,0,1,27,1,12,0
700,Kerala,0,0,8,0,1,0
701,Kerala,0,1,4,0,0,0
702,Kerala,0,0,32,0,12,1
703,Kerala,0,0,21,0,12,1
704,Kerala,0,1,35,1,16,1
705,Kerala,0,1,13,0,7,0
706,Kerala,0,1,5,0,0,0
707,Kerala,0,0,60,1,8,1
708,Kerala,0,1,54,1,10,0
709,Kerala,0,1,38,1,12,0
710,Kerala,0,1,16,0,9,0
711,Kerala,0,1,12,0,7,0
712,Kerala,0,1,10,0,4,0
713,Kerala,0,0,41,0,10,1
714,Kerala,0,1,57,0,8,0
715,Kerala,0,0,70,1,2,0
716,Kerala,0,1,65,1,14,0
717,Kerala,0,0,38,0,14,1
718,Kerala,0,0,35,0,15,1
719,Kerala,0,0,65,1,4,1
720,Kerala,0,1,61,1,7,1
721,Kerala,0,1,40,1,15,1
722,Kerala,0,1,14,0,9,0
723,Kerala,0,0,41,1,9,1
724,Kerala,0,1,33,1,12,1
725,Kerala,0,0,11,0,6,0
726,Kerala,0,0,5,0,0,0
727,Kerala,0,0,35,0,5,1
728,Kerala,0,0,41,1,15,1
729,Kerala,0,1,33,1,15,0
730,Kerala,0,0,11,0,6,1
